date,Month,Year,DIS,ideal_earning,ideal_compound_earning,ideal_compound_earning_adj,ml,ml_earning_price_change,ml_earning,ml_earning_adj,snp500,snp500_earning,snp500_earning_adj
9/30/2015 0:00,Sep,2015,97.74,1,1,0,96.71180725,1,1,0,1920.030029,1,0
10/1/2015 0:00,Oct,2015,98.19,0.003453039,1.003453039,0.003453039,98.51995087,0.004604052,1.004604052,0.004604052,1923.819946,1.001973884,0.001973884
10/2/2015 0:00,Oct,2015,98.5,0.002367858,1.005829073,0.005829073,98.71218872,0.003157144,1.007775732,0.007775732,1951.359985,1.01631743,0.01631743
10/5/2015 0:00,Oct,2015,99.32,0.006243655,1.012109123,0.012109123,99.84477997,0.008324873,1.016165337,0.016165337,1987.050049,1.034905714,0.034905714
10/6/2015 0:00,Oct,2015,99.24,0,1.012109123,0.012109123,100.8538132,-0.000805477,1.015346839,0.015346839,1979.920044,1.031192228,0.031192228
10/7/2015 0:00,Oct,2015,98.88,0,1.012109123,0.012109123,99.8006134,0,1.015346839,0.015346839,1995.829956,1.039478511,0.039478511
10/8/2015 0:00,Oct,2015,100.04,0.008798544,1.021014209,0.021014209,100.5722656,0.011731392,1.02725827,0.02725827,2013.430054,1.048645086,0.048645086
10/9/2015 0:00,Oct,2015,100.95,0.006822271,1.027979845,0.027979845,101.2819061,0.009096361,1.036602582,0.036602582,2014.890015,1.04940547,0.04940547
10/12/2015 0:00,Oct,2015,101.71,0.00564636,1.033784189,0.033784189,101.3384094,0.007528479,1.044406624,0.044406624,2017.459961,1.050743963,0.050743963
10/13/2015 0:00,Oct,2015,101.94,0.001695998,1.035537485,0.035537485,101.6812363,0.002261331,1.046768373,0.046768373,2003.689941,1.043572189,0.043572189
10/14/2015 0:00,Oct,2015,101.12,0,1.035537485,0.035537485,100.7102966,0,1.046768373,0.046768373,1994.23999,1.038650417,0.038650417
10/15/2015 0:00,Oct,2015,103.18,0.015278877,1.051359334,0.051359334,100.4958649,0,1.046768373,0.046768373,2023.859985,1.054077256,0.054077256
10/16/2015 0:00,Oct,2015,103.52,0.002471409,1.053957674,0.053957674,101.9381866,0.003295212,1.050217697,0.050217697,2033.109985,1.058894889,0.058894889
10/19/2015 0:00,Oct,2015,104.69,0.008476623,1.062891675,0.062891675,102.2639618,0.011302164,1.062087429,0.062087429,2033.660034,1.059181369,0.059181369
10/20/2015 0:00,Oct,2015,105.05,0.002579043,1.065632919,0.065632919,102.3874817,0.003438724,1.065739655,0.065739655,2030.77002,1.057676177,0.057676177
10/21/2015 0:00,Oct,2015,105.29,0.00171347,1.067458848,0.067458848,102.2640915,0,1.065739655,0.065739655,2018.939941,1.051514773,0.051514773
10/22/2015 0:00,Oct,2015,108.31,0.021512014,1.090422038,0.090422038,101.9405365,0,1.065739655,0.065739655,2052.51001,1.068998911,0.068998911
10/23/2015 0:00,Oct,2015,108.15,0,1.090422038,0.090422038,103.1011047,-0.001477241,1.0641653,0.0641653,2075.149902,1.080790337,0.080790337
10/26/2015 0:00,Oct,2015,108.57,0.002912621,1.093598025,0.093598025,104.0193558,0.003883495,1.068297981,0.068297981,2071.179932,1.078722677,0.078722677
10/27/2015 0:00,Oct,2015,108.8,0.001588837,1.095335574,0.095335574,104.1292877,0.002118449,1.070561116,0.070561116,2065.889893,1.075967491,0.075967491
10/28/2015 0:00,Oct,2015,109.35,0.00379136,1.099488385,0.099488385,104.2854919,0.005055147,1.07597296,0.07597296,2090.350098,1.088706982,0.088706982
10/29/2015 0:00,Oct,2015,110.02,0.004595336,1.104540904,0.104540904,104.9156799,0.006127115,1.082565569,0.082565569,2089.409912,1.088217309,0.088217309
10/30/2015 0:00,Oct,2015,108.78,0,1.104540904,0.104540904,104.6839981,0,1.082565569,0.082565569,2079.360107,1.082983118,0.082983118
11/2/2015 0:00,Nov,2015,110.02,0.008549366,1.113984028,0.113984028,104.8248749,0.011399154,1.094905901,0.094905901,2104.050049,1.095842261,0.095842261
11/3/2015 0:00,Nov,2015,110.5,0.003272132,1.117629131,0.117629131,106.1115646,0.004362843,1.099682804,0.099682804,2109.790039,1.098831793,0.098831793
11/4/2015 0:00,Nov,2015,108.31,0,1.117629131,0.117629131,106.1450653,-0.019819005,1.077888186,0.077888186,2102.310059,1.094936031,0.094936031
11/5/2015 0:00,Nov,2015,108.07,0,1.117629131,0.117629131,106.0838013,0,1.077888186,0.077888186,2099.929932,1.093696401,0.093696401
11/6/2015 0:00,Nov,2015,110.62,0.017696863,1.137407661,0.137407661,105.887146,0,1.077888186,0.077888186,2099.199951,1.093316208,0.093316208
11/9/2015 0:00,Nov,2015,111.34,0.004881577,1.142960004,0.142960004,106.0732117,0.006508769,1.08490391,0.08490391,2078.580078,1.082576859,0.082576859
11/10/2015 0:00,Nov,2015,112.3,0.006466679,1.150351159,0.150351159,104.9861374,0,1.08490391,0.08490391,2081.719971,1.084212194,0.084212194
11/11/2015 0:00,Nov,2015,111.43,0,1.150351159,0.150351159,105.2434158,-0.007747106,1.076499045,0.076499045,2075,1.080712264,0.080712264
11/12/2015 0:00,Nov,2015,111.14,0,1.150351159,0.150351159,105.0934982,0,1.076499045,0.076499045,2045.969971,1.065592694,0.065592694
11/13/2015 0:00,Nov,2015,109.83,0,1.150351159,0.150351159,104.1433563,0,1.076499045,0.076499045,2023.040039,1.053650208,0.053650208
11/16/2015 0:00,Nov,2015,110.86,0.007033597,1.158442266,0.158442266,103.0526886,0,1.076499045,0.076499045,2053.189941,1.069353036,0.069353036
11/17/2015 0:00,Nov,2015,111.06,0.001353058,1.160009705,0.160009705,104.0043945,0.001804077,1.078441132,0.078441132,2050.439941,1.067920767,0.067920767
11/18/2015 0:00,Nov,2015,112.98,0.012965964,1.17505035,0.17505035,104.1076965,0.017287952,1.097085171,0.097085171,2083.580078,1.085180985,0.085180985
11/19/2015 0:00,Nov,2015,113.53,0.003651089,1.179340563,0.179340563,105.7593079,0.004868118,1.102425912,0.102425912,2081.23999,1.083962208,0.083962208
11/20/2015 0:00,Nov,2015,114.83,0.008588038,1.189468785,0.189468785,105.6055298,0,1.102425912,0.102425912,2089.169922,1.088092316,0.088092316
